,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend
404,INFY,EQ,2018-12-31,656.95,660.0,662.0,655.8,659.6,658.95,659.27,3373319,2223919550.25,65442,1517551,44.99,2018,12,0.304437171778682,Slight or No change
405,INFY,EQ,2019-01-01,658.95,660.95,666.3,654.15,665.95,665.05,660.66,2943390,1944579422.55,45422,1282161,43.56,2019,1,0.925715152894746,Slight positive
406,INFY,EQ,2019-01-02,665.05,666.0,674.0,662.05,668.0,669.05,669.97,7416655,4968962632.6,108094,3880800,52.33,2019,1,0.6014585369521042,Slight positive
407,INFY,EQ,2019-01-03,669.05,672.0,677.0,663.1,668.0,669.15,669.66,6827249,4571929258.25,125781,3676359,53.85,2019,1,0.014946566026452501,Slight or No change
408,INFY,EQ,2019-01-04,669.15,671.75,673.9,651.0,660.25,661.05,660.17,7889310,5208304588.7,187590,3747741,47.5,2019,1,-1.210490921318097,Negative
409,INFY,EQ,2019-01-07,661.05,665.0,673.6,661.5,671.7,671.7,667.51,8046340,5370973786.6,132736,4711672,58.56,2019,1,1.6110732924892401,Positive
410,INFY,EQ,2019-01-08,671.7,674.95,677.45,668.55,670.0,670.05,672.86,8621545,5801122719.75,134369,5652959,65.57,2019,1,-0.2456453774006384,Slight or No change
411,INFY,EQ,2019-01-09,670.05,686.2,689.8,664.0,675.6,676.1,678.41,18130292,12299738074.8,314702,8029281,44.29,2019,1,0.902917692709515,Slight positive
412,INFY,EQ,2019-01-10,676.1,681.6,682.0,672.55,680.8,679.7,677.63,9572493,6486610275.85,141449,6064060,63.35,2019,1,0.5324656115959225,Slight positive
413,INFY,EQ,2019-01-11,679.7,680.2,685.5,672.5,684.35,683.5,679.18,12281903,8341603861.1,159694,6409592,52.19,2019,1,0.5590701780197049,Slight positive
414,INFY,EQ,2019-01-14,683.5,707.0,710.2,695.95,701.3,701.9,701.27,19312937,13543620376.15,289248,7316609,37.88,2019,1,2.6920263350402207,Positive
415,INFY,EQ,2019-01-15,701.9,707.2,730.0,707.2,728.3,726.6,721.52,19671304,14193222353.15,285205,8770235,44.58,2019,1,3.5190198033907993,Among top gainers
416,INFY,EQ,2019-01-16,726.6,729.9,737.8,728.5,735.95,736.8,734.12,9658944,7090838080.1,175301,3769918,39.03,2019,1,1.4037985136250875,Positive
417,INFY,EQ,2019-01-17,736.8,735.8,739.0,729.1,733.2,733.35,733.06,6903771,5060865130.15,155361,3662842,53.06,2019,1,-0.4682410423452632,Slight or No change
418,INFY,EQ,2019-01-18,733.35,730.0,736.2,726.3,734.0,730.95,730.43,5902151,4311101798.25,117506,3555997,60.25,2019,1,-0.32726528942523814,Slight or No change
419,INFY,EQ,2019-01-21,730.95,738.2,751.0,734.0,743.25,745.0,744.87,8129422,6055327086.3,207759,4205100,51.73,2019,1,1.9221560982283226,Positive
420,INFY,EQ,2019-01-22,745.0,741.25,749.0,734.0,747.0,745.35,739.94,6723375,4974904338.9,184880,4348471,64.68,2019,1,0.04697986577182345,Slight or No change
421,INFY,EQ,2019-01-23,745.35,742.35,742.6,729.2,731.65,731.65,735.7,7212099,5305910421.7,114457,4265475,59.14,2019,1,-1.8380626551284696,Negative
422,INFY,EQ,2019-01-24,731.65,728.1,736.1,721.0,734.0,732.0,727.66,7429783,5406365017.9,138534,3721327,50.09,2019,1,0.04783708057132241,Slight or No change
423,INFY,EQ,2019-01-25,732.0,728.0,737.9,724.25,730.3,730.35,731.7,5543112,4055912046.45,86157,3056302,55.14,2019,1,-0.22540983606557097,Slight or No change
424,INFY,EQ,2019-01-28,730.35,731.0,732.6,719.0,731.0,727.95,725.12,7944693,5760882919.0,128705,5442114,68.5,2019,1,-0.3286095707537462,Slight or No change
425,INFY,EQ,2019-01-29,727.95,725.5,732.85,716.5,730.05,727.9,721.76,6760819,4879714902.6,137242,4100300,60.65,2019,1,-0.006868603612897317,Slight or No change
426,INFY,EQ,2019-01-30,727.9,727.9,734.8,721.1,724.3,725.9,726.45,5763026,4186556191.95,125751,3267862,56.7,2019,1,-0.2747630168979276,Slight or No change
